vehicle_id,date,time,full_record_name,,,,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-33-41.00119,标准存储,2025-02-06 00:09:48,928.6MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-34-41.00120,标准存储,2025-02-06 00:10:24,940.94MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-35-41.00121,标准存储,2025-02-06 00:09:48,960.86MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-36-41.00122,标准存储,2025-02-06 00:08:56,938.64MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-37-41.00123,标准存储,2025-02-06 00:09:23,860.37MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-38-41.00124,标准存储,2025-02-06 00:10:24,856.29MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-39-41.00125,标准存储,2025-02-06 00:09:56,847.06MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-40-41.00126,标准存储,2025-02-06 00:10:14,902.95MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-41-41.00127,标准存储,2025-02-06 00:10:50,935.21MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-42-41.00128,标准存储,2025-02-06 00:10:15,33.64MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-10-57.00000,标准存储,2025-02-06 00:09:12,969.17MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-11-57.00001,标准存储,2025-02-06 00:08:38,896.24MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-12-57.00002,标准存储,2025-02-06 00:09:56,815.67MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-13-57.00003,标准存储,2025-02-06 00:10:34,905.22MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-14-57.00004,标准存储,2025-02-06 00:09:23,898.11MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-15-57.00005,标准存储,2025-02-06 00:08:38,1015.95MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-16-57.00006,标准存储,2025-02-06 00:09:59,1016.02MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-17-57.00007,标准存储,2025-02-06 00:10:50,1001.8MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-18-57.00008,标准存储,2025-02-06 00:10:35,948.35MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-19-57.00009,标准存储,2025-02-06 00:09:48,933.56MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-20-57.00010,标准存储,2025-02-06 00:09:49,1019.94MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-21-57.00011,标准存储,2025-02-06 00:10:36,1001.92MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-22-57.00012,标准存储,2025-02-06 00:09:24,987.51MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-23-57.00013,标准存储,2025-02-06 00:08:56,996.72MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-24-57.00014,标准存储,2025-02-06 00:08:39,998.51MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-25-57.00015,标准存储,2025-02-06 00:10:36,947.6MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-26-57.00016,标准存储,2025-02-06 00:09:23,936.34MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-27-57.00017,标准存储,2025-02-06 00:08:56,916.41MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-28-57.00018,标准存储,2025-02-06 00:08:42,922.98MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-29-57.00019,标准存储,2025-02-06 00:09:11,897.82MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-30-57.00020,标准存储,2025-02-06 00:10:37,935.31MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-31-57.00021,标准存储,2025-02-06 00:10:00,923.49MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-32-57.00022,标准存储,2025-02-06 00:08:29,928.88MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-33-57.00023,标准存储,2025-02-06 00:09:24,873.48MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-34-57.00024,标准存储,2025-02-06 00:10:37,892.79MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-35-57.00025,标准存储,2025-02-06 00:10:15,912.63MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-36-57.00026,标准存储,2025-02-06 00:08:43,904.97MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-17-37-57.00027,标准存储,2025-02-06 00:09:24,885.37MB,
